5A8	Aleknagik / New Airport
CYBB	Kugaaruk Airport
CYBC	Baie Comeau Airport
CYBD	Bella Coola Airport
CYBE	Uranium City Airport
CYBF	Bonnyville Airport
CYBG	CFB Bagotville
CYBK	Baker Lake Airport
CYBL	Campbell River Airport
CYBQ	Tadoule Lake Airport
CYBR	Brandon Municipal Airport
CYBT	Brochet Airport
CYBU	Nipawin Airport
CYBV	Berens River Airport
CYBW	Calgary / Springbank Airport
CYBX	Lourdes de Blanc Sablon Airport
CYCA	Cartwright Airport
CYCB	Cambridge Bay Airport
CYCC	Cornwall Regional Airport
CYCD	Nanaimo Airport
CYCE	Centralia / James T. Field Memorial Aerodrome
CYCG	Castlegar/West Kootenay Regional Airport
CYCH	Miramichi Airport
CYCL	Charlo Airport
CYCN	Cochrane Airport
CYCO	Kugluktuk Airport
CYCP	Blue River Airport
CYCQ	Chetwynd Airport
CYCR	Cross Lake (Charlie Sinclair Memorial) Airport
CYCS	Chesterfield Inlet Airport
CYCY	Clyde River Airport
CYDA	Dawson City Airport
CYDB	Burwash Airport
CYDC	Princeton Airport
CYDF	Deer Lake Airport
CYDM	Ross River Airport
CYDN	Dauphin Barker Airport
CYDO	Dolbeau St Felicien Airport
CYDP	Nain Airport
CYDQ	Dawson Creek Airport
CYEE	Huronia Airport
CYEG	Edmonton International Airport
CYEK	Arviat Airport
CYEL	Elliot Lake Municipal Airport
CYEM	Manitoulin East Municipal Airport
CYEN	Estevan Airport
CYER	Fort Severn Airport
CYET	Edson Airport
CYEV	Inuvik Mike Zubko Airport
CYEY	Amos/Magny Airport
CYFA	Fort Albany Airport
CYFB	Iqaluit Airport
CYFC	Fredericton Airport
CYFE	Forestville Airport
CYFH	Fort Hope Airport
CYFJ	La Macaza / Mont-Tremblant International Inc Airport
CYFO	Flin Flon Airport
CYFR	Fort Resolution Airport
CYFS	Fort Simpson Airport
CYFT	Makkovik Airport
CYGB	Texada Gillies Bay Airport
CYGD	Goderich Airport
CYGE	Golden Airport
CYGH	Fort Good Hope Airport
CYGK	Kingston Norman Rogers Airport
CYGL	La Grande RiviÃ¨re Airport
CYGM	Gimli Industrial Park Airport
CYGO	Gods Lake Narrows Airport
CYGP	GaspÃ© (Michel-Pouliot) Airport
CYGQ	Geraldton Greenstone Regional Airport
CYGR	ÃŽles-de-la-Madeleine Airport
CYGT	Igloolik Airport
CYGV	Havre St Pierre Airport
CYGW	Kuujjuarapik Airport
CYGX	Gillam Airport
CYGZ	Grise Fiord Airport
CYHA	Quaqtaq Airport
CYHD	Dryden Regional Airport
CYHE	Hope Airport
CYHF	Hearst RenÃ© Fontaine Municipal Airport
CYHH	Nemiscau Airport
CYHI	Ulukhaktok Holman Airport
CYHK	Gjoa Haven Airport
CYHM	John C. Munro Hamilton International Airport
CYHN	Hornepayne Municipal Airport
CYHO	Hopedale Airport
CYHR	Chevery Airport
CYHT	Haines Junction Airport
CYHU	MontrÃ©al / Saint-Hubert Airport
CYHY	Hay River / Merlyn Carter Airport
CYHZ	Halifax / Stanfield International Airport
CYIB	Atikokan Municipal Airport
CYID	Digby / Annapolis Regional Airport
CYIF	St Augustin Airport
CYIK	Ivujivik Airport
CYIO	Pond Inlet Airport
